"","year","momed","sphere","variable","val","prop","prop_low","prop_upp"
"1",1976,"LESS THAN HIGH SCHOOL","Public","jobopp","Conventional",0.251775339567015,0.204946320275485,0.298604358858545
"2",1976,"LESS THAN HIGH SCHOOL","Public","jobopp","Feminist",0.748224660432985,0.701395641141455,0.795053679724515
"3",1976,"LESS THAN HIGH SCHOOL","Public","lead","Conventional",0.191091026801482,0.148515342666675,0.23366671093629
"4",1976,"LESS THAN HIGH SCHOOL","Public","lead","Feminist",0.808908973198518,0.76633328906371,0.851484657333325
"5",1976,"LESS THAN HIGH SCHOOL","Family","hdecide","Conventional",0.478175895599105,0.423705422252739,0.53264636894547
"6",1976,"LESS THAN HIGH SCHOOL","Family","hdecide","Feminist",0.521824104400895,0.46735363105453,0.576294577747261
"7",1976,"LESS THAN HIGH SCHOOL","Family","home","Conventional",0.741123306654192,0.695293304484255,0.78695330882413
"8",1976,"LESS THAN HIGH SCHOOL","Family","home","Feminist",0.258876693345808,0.21304669117587,0.304706695515745
"9",1976,"COMPLETED HIGH SCHOOL","Public","jobopp","Conventional",0.269830949196256,0.237591247023335,0.302070651369178
"10",1976,"COMPLETED HIGH SCHOOL","Public","jobopp","Feminist",0.730169050803744,0.697929348630822,0.762408752976665
"11",1976,"COMPLETED HIGH SCHOOL","Public","lead","Conventional",0.195383615002212,0.167113563427873,0.22365366657655
"12",1976,"COMPLETED HIGH SCHOOL","Public","lead","Feminist",0.804616384997788,0.77634633342345,0.832886436572127
"13",1976,"COMPLETED HIGH SCHOOL","Family","hdecide","Conventional",0.441167040264453,0.406294796067458,0.476039284461447
"14",1976,"COMPLETED HIGH SCHOOL","Family","hdecide","Feminist",0.558832959735547,0.523960715538553,0.593705203932542
"15",1976,"COMPLETED HIGH SCHOOL","Family","home","Conventional",0.754226267897499,0.725751870657491,0.782700665137506
"16",1976,"COMPLETED HIGH SCHOOL","Family","home","Feminist",0.245773732102501,0.217299334862494,0.274248129342509
"17",1976,"SOME COLLEGE","Public","jobopp","Conventional",0.168526786070164,0.1214946187653,0.215558953375029
"18",1976,"SOME COLLEGE","Public","jobopp","Feminist",0.831473213929836,0.784441046624971,0.8785053812347
"19",1976,"SOME COLLEGE","Public","lead","Conventional",0.116071429003036,0.0793632924420914,0.152779565563981
"20",1976,"SOME COLLEGE","Public","lead","Feminist",0.883928570996964,0.847220434436019,0.920636707557909
"21",1976,"SOME COLLEGE","Family","hdecide","Conventional",0.381974250192384,0.318724715290687,0.445223785094081
"22",1976,"SOME COLLEGE","Family","hdecide","Feminist",0.618025749807616,0.554776214905919,0.681275284709313
"23",1976,"SOME COLLEGE","Family","home","Conventional",0.632812499421388,0.572539083827196,0.69308591501558
"24",1976,"SOME COLLEGE","Family","home","Feminist",0.367187500578612,0.30691408498442,0.427460916172804
"25",1976,"COMPLETED COLLEGE","Public","jobopp","Conventional",0.241545894023517,0.193376181057733,0.289715606989301
"26",1976,"COMPLETED COLLEGE","Public","jobopp","Feminist",0.758454105976483,0.710284393010699,0.806623818942267
"27",1976,"COMPLETED COLLEGE","Public","lead","Conventional",0.161835748543043,0.11974012126146,0.203931375824625
"28",1976,"COMPLETED COLLEGE","Public","lead","Feminist",0.838164251456957,0.796068624175375,0.88025987873854
"29",1976,"COMPLETED COLLEGE","Family","hdecide","Conventional",0.362139916973409,0.308160500723259,0.416119333223559
"30",1976,"COMPLETED COLLEGE","Family","hdecide","Feminist",0.637860083026591,0.583880666776441,0.691839499276741
"31",1976,"COMPLETED COLLEGE","Family","home","Conventional",0.660225442768451,0.607969962616031,0.71248092292087
"32",1976,"COMPLETED COLLEGE","Family","home","Feminist",0.339774557231549,0.28751907707913,0.392030037383969
"33",1977,"LESS THAN HIGH SCHOOL","Public","jobopp","Conventional",0.255296035901778,0.213580716207034,0.297011355596523
"34",1977,"LESS THAN HIGH SCHOOL","Public","jobopp","Feminist",0.744703964098222,0.702988644403477,0.786419283792966
"35",1977,"LESS THAN HIGH SCHOOL","Public","lead","Conventional",0.15915263508023,0.12475939066206,0.193545879498401
"36",1977,"LESS THAN HIGH SCHOOL","Public","lead","Feminist",0.84084736491977,0.806454120501599,0.87524060933794
"37",1977,"LESS THAN HIGH SCHOOL","Family","hdecide","Conventional",0.441747571278822,0.394136161483055,0.48935898107459
"38",1977,"LESS THAN HIGH SCHOOL","Family","hdecide","Feminist",0.558252428721178,0.51064101892541,0.605863838516945
"39",1977,"LESS THAN HIGH SCHOOL","Family","home","Conventional",0.710483432577362,0.666707061190852,0.754259803963872
"40",1977,"LESS THAN HIGH SCHOOL","Family","home","Feminist",0.289516567422638,0.245740196036128,0.333292938809148
"41",1977,"COMPLETED HIGH SCHOOL","Public","jobopp","Conventional",0.233675256031288,0.206592200189344,0.260758311873231
"42",1977,"COMPLETED HIGH SCHOOL","Public","jobopp","Feminist",0.766324743968712,0.739241688126768,0.793407799810656
"43",1977,"COMPLETED HIGH SCHOOL","Public","lead","Conventional",0.165374030355251,0.141977660331609,0.188770400378893
"44",1977,"COMPLETED HIGH SCHOOL","Public","lead","Feminist",0.834625969644749,0.811229599621107,0.858022339668391
"45",1977,"COMPLETED HIGH SCHOOL","Family","hdecide","Conventional",0.416686362433586,0.386320167477507,0.447052557389664
"46",1977,"COMPLETED HIGH SCHOOL","Family","hdecide","Feminist",0.583313637566415,0.552947442610336,0.613679832522493
"47",1977,"COMPLETED HIGH SCHOOL","Family","home","Conventional",0.693520139862808,0.665719128391553,0.721321151334062
"48",1977,"COMPLETED HIGH SCHOOL","Family","home","Feminist",0.306479860137192,0.278678848665938,0.334280871608447
"49",1977,"SOME COLLEGE","Public","jobopp","Conventional",0.230706074979477,0.184830197351999,0.276581952606954
"50",1977,"SOME COLLEGE","Public","jobopp","Feminist",0.769293925020523,0.723418047393046,0.815169802648001
"51",1977,"SOME COLLEGE","Public","lead","Conventional",0.140394087586759,0.102939764227412,0.177848410946106
"52",1977,"SOME COLLEGE","Public","lead","Feminist",0.859605912413241,0.822151589053894,0.897060235772588
"53",1977,"SOME COLLEGE","Family","hdecide","Conventional",0.375768217737306,0.323121987704803,0.428414447769808
"54",1977,"SOME COLLEGE","Family","hdecide","Feminist",0.624231782262694,0.571585552230192,0.676878012295197
"55",1977,"SOME COLLEGE","Family","home","Conventional",0.63957307063916,0.587627659970286,0.691518481308034
"56",1977,"SOME COLLEGE","Family","home","Feminist",0.36042692936084,0.308481518691966,0.412372340029714
"57",1977,"COMPLETED COLLEGE","Public","jobopp","Conventional",0.201358863366368,0.162278303780209,0.240439422952528
"58",1977,"COMPLETED COLLEGE","Public","jobopp","Feminist",0.798641136633632,0.759560577047472,0.837721696219791
"59",1977,"COMPLETED COLLEGE","Public","lead","Conventional",0.130945027565339,0.0999683702044649,0.161921684926213
"60",1977,"COMPLETED COLLEGE","Public","lead","Feminist",0.869054972434661,0.838078315073787,0.900031629795535
"61",1977,"COMPLETED COLLEGE","Family","hdecide","Conventional",0.377392343785699,0.333315343451884,0.421469344119515
"62",1977,"COMPLETED COLLEGE","Family","hdecide","Feminist",0.6226076562143,0.578530655880485,0.666684656548116
"63",1977,"COMPLETED COLLEGE","Family","home","Conventional",0.6256948737837,0.581590319696359,0.669799427871041
