"","year","race","sphere","variable","val","prop","prop_low","prop_upp"
"1",1976,"Black","Public","jobopp","Conventional",0.298507462195686,0.229934400645612,0.367080523745761
"2",1976,"Black","Public","jobopp","Feminist",0.701492537804314,0.63291947625424,0.770065599354389
"3",1976,"Black","Public","lead","Conventional",0.141112618154303,0.0900796959707039,0.192145540337902
"4",1976,"Black","Public","lead","Feminist",0.858887381845697,0.807854459662098,0.909920304029296
"5",1976,"Black","Family","hdecide","Conventional",0.491504853914493,0.421826295462828,0.561183412366158
"6",1976,"Black","Family","hdecide","Feminist",0.508495146085507,0.438816587633842,0.578173704537172
"7",1976,"Black","Family","home","Conventional",0.675712348703513,0.60869462994186,0.742730067465166
"8",1976,"Black","Family","home","Feminist",0.324287651296487,0.257269932534834,0.39130537005814
"9",1976,"White","Public","jobopp","Conventional",0.240789910695872,0.21850451507371,0.263075306318033
"10",1976,"White","Public","jobopp","Feminist",0.759210089304128,0.736924693681967,0.78149548492629
"11",1976,"White","Public","lead","Conventional",0.182210421585975,0.162270026947398,0.202150816224553
"12",1976,"White","Public","lead","Feminist",0.817789578414025,0.797849183775447,0.837729973052602
"13",1976,"White","Family","hdecide","Conventional",0.418437343006023,0.392866245938884,0.444008440073162
"14",1976,"White","Family","hdecide","Feminist",0.581562656993977,0.555991559926838,0.607133754061116
"15",1976,"White","Family","home","Conventional",0.723033521429105,0.701049671991276,0.745017370866933
"16",1976,"White","Family","home","Feminist",0.276966478570895,0.254982629133067,0.298950328008724
"17",1977,"Black","Public","jobopp","Conventional",0.271844659725982,0.219134853780939,0.324554465671026
"18",1977,"Black","Public","jobopp","Feminist",0.728155340274018,0.675445534328974,0.780865146219061
"19",1977,"Black","Public","lead","Conventional",0.154368930691377,0.110169619261932,0.198568242120822
"20",1977,"Black","Public","lead","Feminist",0.845631069308623,0.801431757879178,0.889830380738068
"21",1977,"Black","Family","hdecide","Conventional",0.435168736021031,0.378691322584498,0.491646149457565
"22",1977,"Black","Family","hdecide","Feminist",0.564831263978969,0.508353850542435,0.621308677415503
"23",1977,"Black","Family","home","Conventional",0.632038834682714,0.577180133375125,0.686897535990303
"24",1977,"Black","Family","home","Feminist",0.367961165317286,0.313102464009697,0.422819866624875
"25",1977,"White","Public","jobopp","Conventional",0.226422498338715,0.207128003906749,0.24571699277068
"26",1977,"White","Public","jobopp","Feminist",0.773577501661285,0.75428300722932,0.792871996093251
"27",1977,"White","Public","lead","Conventional",0.154087638989845,0.137901525754146,0.170273752225545
"28",1977,"White","Public","lead","Feminist",0.845912361010155,0.829726247774455,0.862098474245854
"29",1977,"White","Family","hdecide","Conventional",0.405534105334511,0.383481908397889,0.427586302271134
"30",1977,"White","Family","hdecide","Feminist",0.594465894665488,0.572413697728866,0.616518091602111
"31",1977,"White","Family","home","Conventional",0.682930019483225,0.662306228433405,0.703553810533046
"32",1977,"White","Family","home","Feminist",0.317069980516775,0.296446189466954,0.337693771566595
"33",1978,"Black","Public","jobopp","Conventional",0.227440146712915,0.175570065202832,0.279310228222997
"34",1978,"Black","Public","jobopp","Feminist",0.772559853287085,0.720689771777003,0.824429934797168
"35",1978,"Black","Public","lead","Conventional",0.153775322083646,0.109714729606727,0.197835914560566
"36",1978,"Black","Public","lead","Feminist",0.846224677916354,0.802164085439434,0.890285270393273
"37",1978,"Black","Family","hdecide","Conventional",0.334473908236703,0.281798667382715,0.387149149090692
